,0,1
empire of the sun>>walking on a dream,48.206112,-10.683145
foo fighters>>best of you,-11.566419,-62.46419
will.i.am>>scream & shout,11.669948,11.351568
gorillaz>>feel good inc,-54.9909,-31.680668
ed sheeran>>the a team,48.992336,9.351191
guns n roses>>welcome to the jungle,62.56283,-17.091766
daft punk>>doin it right,-18.868803,-25.012693
bruno mars>>treasure,13.536144,-6.5027485
lana del rey>>video games,48.820366,-10.140806
the smashing pumpkins>>1979,20.143404,-65.124916
miley cyrus>>we cant stop,14.352781,-10.969347
the killers>>human,-59.98908,7.3108363
johnny cash>>hurt,-62.467537,9.989372
lady gaga>>bad romance,11.144795,-23.77484
magic!>>rude,8.936874,8.275254
jet>>are you gonna be my girl,15.972874,-67.99801
muse>>madness,-21.078014,45.3884
kanye west>>black skinhead,7.7198014,-22.725328
two door cinema club>>something good can work,31.257935,36.722435
massive attack>>teardrop,37.689396,21.069632
p!nk>>just give me a reason,-12.109265,5.5597863
john newman>>love me again,-9.641185,10.793271
the rolling stones>>sympathy for the devil,59.91985,29.153303
the xx>>angels,32.05953,-52.12397
lmfao>>sexy and i know it,11.867116,11.622945
daft punk>>one more time,1.6468462,38.36002
the xx>>islands,-34.10508,22.258766
bruno mars>>just the way you are,-10.733668,5.0323215
van morrison>>brown eyed girl,-19.072107,-62.12921
kanye west>>stronger,14.713517,7.625005
miley cyrus>>wrecking ball,13.820276,-15.055403
eminem>>lose yourself - soundtrack version,-6.154976,9.234135
u2>>with or without you,55.027477,-36.978233
of monsters and men>>dirty paws,-17.42959,-33.766666
ariana grande>>problem,5.31042,9.449465
nirvana>>lithium,-42.698788,49.343437
beck>>loser,-38.801666,53.79208
modest mouse>>float on,-36.181953,-20.937721
guns n roses>>paradise city,5.79068,68.35695
lynyrd skynyrd>>sweet home alabama,60.717793,28.399717
foo fighters>>the pretender,64.69824,-3.4554043
lana del rey>>born to die,-6.4190016,-38.852005
kavinsky>>nightcall,-1.7569351,36.090317
